combo	run	secs	child_maxrss_mb	server_rss_mb	text
sensevoice	1	0.164	275	-	今天清迈天气还不错，最高32度。
sensevoice	2	0.122	275	-	今天清迈天气还不错，最高32度。
sensevoice	3	0.140	275	-	今天清迈天气还不错，最高32度。
sensevoice	4	0.124	275	-	今天清迈天气还不错，最高32度。
sensevoice	5	0.126	275	-	今天清迈天气还不错，最高32度。
qwen3-0.6b-cli	1	1.792	813	-	今天青麦天气还不错，最高三十二度。
qwen3-0.6b-cli	2	1.810	815	-	今天青麦天气还不错，最高三十二度。
qwen3-0.6b-cli	3	1.766	815	-	今天青麦天气还不错，最高三十二度。
qwen3-0.6b-cli	4	1.796	815	-	今天青麦天气还不错，最高三十二度。
qwen3-0.6b-cli	5	1.795	815	-	今天青麦天气还不错，最高三十二度。
qwen3-0.6b-resident	1	2.207	815	815	今天青迈天气还不错，最高三十二度。
qwen3-0.6b-resident	2	0.093	815	816	今天青迈天气还不错，最高三十二度。
qwen3-0.6b-resident	3	0.094	815	816	今天青迈天气还不错，最高三十二度。
qwen3-0.6b-resident	4	0.103	815	816	今天青迈天气还不错，最高三十二度。
qwen3-0.6b-resident	5	0.092	815	816	今天青迈天气还不错，最高三十二度。
qwen3-1.7b-cli	1	2.092	2484	-	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-cli	2	1.900	2485	-	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-cli	3	1.879	2485	-	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-cli	4	1.930	2485	-	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-cli	5	1.898	2487	-	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-resident	1	2.036	2487	2489	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-resident	2	0.207	2487	2490	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-resident	3	0.187	2487	2490	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-resident	4	0.191	2487	2491	今天清迈天气还不错，最高三十二度。
qwen3-1.7b-resident	5	0.189	2487	2491	今天清迈天气还不错，最高三十二度。
