en000	2.645	However, due to the slow communication channels, styles in the West could lag behind by twenty-five to thirty years.
en001	1.889	The night between 150 and 200 copies were made, now known as Dunlap broadsides.
en002	1.920	Anyone who is going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.
en003	1.930	A well-rounded athlete, the tiger can climb, though not well, swim, leap great distances, and pull with five times the force of a strong human.
en004	1.921	Travelers are strongly advised to be aware of any risk of severe weather affecting their area, as it may affect any travel plans.
en005	2.014	To the north and within easy reach is the romantic and fascinating town of Centra, in which was made famous to foreigners after a glowing account of its splendours recorded by Lord Bryan.
en006	1.873	Television reports show white smoke coming from the plant.
en007	1.835	The find also grats insight into the evolution of feathers in birds.
en008	1.912	Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.
en009	1.904	Mazosaurus was the apex predator of its time, so it feared nothing except other Mazosaurus.
en010	2.000	Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Ficht, and Schlegel.
en011	2.124	This is called a chemical's pH. You can make an indicator using red cabbage juice.
en012	2.245	The governor's office said 19 of the injured were police officers.
en013	2.284	We agree with the USOC statement that the interests of our athletes and clubs and their sport may be better served by moving forward with meaningful change within our organization, rather than the certification.
en014	2.072	We don't know for sure, but it may have had a forked tongue. Its diet included turtles, large fish, other mosasaurs, and it may even have been a cannibal.
en015	2.460	Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.
en016	2.547	There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there— Jews and non-Jews alike.
en017	2.390	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en018	2.034	It is thinner under the Maria and thicker under the Highlands.
en019	2.420	The tiger's roar is not like the full-force roar of a lion, but more like a sentence of a snarling shouted words.
en020	1.997	The central authority of the church has been in Rome for over a thousand years, and this concentration of power and money led to many to question whether this tenant was being met.
en021	1.943	However, that is not true. Although there is something written on the back of the document, it is not a treasure map.
en022	1.849	The vehicle itself was taken away from the scene of the accident at approximately twelve hundred GMT on the same day.
en023	1.859	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en024	2.628	Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.
en025	2.834	Accepted were Aristotle's views on all matters of science, including physiology.
en026	2.579	Middle Order batsman Sachin Tukdalkar and Rahul Dravid performed well and made a hundred run partnership.
en027	2.612	It is renowned for being an epicenter of luxury, began in about four hundred A.D. and lasted up until about eleven hundred A.D.
en028	2.634	The tenth named storm of the Atlantic hurricane season, subtropic storm Jerry, formed in the Atlantic Ocean today.
en029	2.591	He has been unable to take the drugs needed to overcome his pain as they are banned from the games.
en030	2.506	Swirl the two dry powders together, and then with clean wet hands squeeze them into a ball.
en031	2.779	If you're not used to driving on country roads, keep your wits about you. Steep grades, narrow lanes, and sharp curves predominate.
en032	2.794	The official Falkland's currency is the Falkland Pound. FKP whose value is at equivalent to that of a British Pound, GBP.
en033	2.707	The term "bug" is used by entomologists in a formal sense for this group of insects.
en034	2.716	Scientists hope to understand how planets form, especially how the Earth formed since comets collided with the Earth long ago.
en035	2.288	Finally, there are many small cats, including loose pet cats that eat the far more numerous small prey like insects, rodents, lizards, and birds.
en036	1.990	One can only wonder what the keyboard will become when something newer comes along.
en037	2.002	The presence of a true invisible team, Larson and LaFosse, 1989, page 109, is also a unique component of a virtual team.
en038	1.974	Be firm in turning down men, and don't be afraid to stand your ground. Cultural differences are not—it doesn't make it okay.
en039	1.971	In many other cities of Italy and in the rest of the world, particularly in Poland, similar setouts were made, which were viewed by a great number of people.
en040	2.297	He was reportedly aged in his twenties, in a statement, Bieber said, "While I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."
en041	1.959	There may be more Maria on the near side because the crust is thinner. It was easy for lava to rise up to the surface.
en042	1.916	The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.
en043	2.022	But being placed in the high tropics just a few degrees north of equator, you will need to deal with both heat always and sun strong sun when the sky is clear more rarely.
en044	1.970	He was initially hospitalized in the James Paget Hospital in Great Yarmouth.
en045	1.978	Congress began funding the Obscenity Initiative in fiscal 2005 and specified that the FBI must devote ten agents to adult pornography.
en046	1.874	This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.
en047	1.973	Anyone who is going to drive at high latitudes or over mountain passes, should consider the possibility of snow, ice, or freezing temperatures.
en048	1.994	But being placed in the high tropics, just a few degrees north of the equator, you will need to deal with both heat, always, and strong sun, when the sky is clear, more rarely.
en049	1.911	It also attacked anything that entered the water, even a giant dinosaur such as T. rex would be no match for it.
en050	1.948	The Shanghainan zone, however, works somewhat like one country in this respect.
en051	2.072	He wills basically lie to us from the start, first by acting as if this was for legal reasons, second by pretending he was listening to us right up to his art deletion.
en052	1.914	Martelli swore in a new provisional electoral council of nine members yesterday.
en053	2.031	As a result, the process of an organization working together to overcome an obstacle can lead to a new, innovative process to serve the customer's needs.
en054	1.874	This seems sensible because the earth doesn't feel us if it's moving, does it?
en055	1.939	Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms, and dust storms.
en056	2.128	First among its seventy-eight recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq's borders against hostile interventions, and to re-establish diplomatic relations with its neighbors.
en057	1.921	By 1976, 30% of Machu Picchu had been restored, and restoration continues till today.
en058	2.016	Some cruises feature Berlin, Germany, in the brochures. As you can see from the map above, Berlin is nowhere near the sea, and a visit to the city is not included in the price of the cruise.
en059	2.116	Scaffolding is not a method of learning, but rather an aid that provides support to individuals, whom are undergoing a new learning experience, such as using a new computer program or beginning a new project.
mixed000	1.869	那我专爱是那个ISM Information System Management。
mixed001	1.816	想过，但是因为这阵子project有点多。
mixed002	1.819	Hmm, I like hot pot.
mixed003	1.919	对我平时然后都喜欢跟Tony一起玩。
mixed004	1.859	但是我现在换没觉了，换成computer engineering了。
mixed005	1.953	那走过的Professor大概有一百多位。
mixed006	1.900	就是就是我们的Senior。
mixed007	1.847	所以你还蛮喜欢也蛮习惯风控Live的嘛，就是。
mixed008	1.918	我我自己是之前在这面exchange，就是我来这边当exchange student。
mixed009	1.867	聊一些你现在做什么research方向。
mixed010	1.925	呃，什么之类的，就是我们希望透过多轮，就是multi turn的方式，然后最后让这个系统可以帮助我们完成某一项任务。
mixed011	1.892	对这一块算比较easy的part，然后。
mixed012	1.848	就是User去回去respond一些，就是Interesting的。
mixed013	1.855	比较就是对我来说比较new，但是又就是说比比较容易习惯。
mixed014	1.910	对，那时候apply for the fourth year， I我就我去Xuan是在第四年的时候，但是我apply的时候在third year的时候apply。
mixed015	1.924	就是美国学校的exchange的话，twelve twelve twelve score need to be like a bow five hundred and five.
mixed016	1.889	也也是英语方向为主，然后整个亚洲这样看下来，不是Hong Kong，就是Singapore。
mixed017	1.880	就是你已经想好你要念哪个媒介了吗？
mixed018	1.944	就你要申请去交换，你并不需要去说哦，我要去哪一个department交换，是直接选school。
mixed019	1.894	那么我们的 deployment 其实 hardware 跟 software 也就是各半。
mixed020	1.850	感觉还不错。Robotics就是Robotics Mix with Language Application。
mixed021	1.837	对，就是当时考虑过挺多major的。
mixed022	1.885	还是做software的方向。
mixed023	1.921	所以你平时就现在大部分时间还是，tennis就，打网球。
mixed024	1.883	嗯呀，因为体积比较小。
mixed025	1.862	首先，为什么basketball呢？因为就是。
mixed026	1.819	MacBook其实可以，就是。
mixed027	1.900	就是特别不好掌控那个，就是你Bracket Balance。
mixed028	1.892	对，就是那些一些basketball或者soccer，对。
mixed029	1.844	比较容易学的是swimming。
mixed030	1.915	啊，是我比较喜欢篮球，所以我喜欢的运动也有Michael Jordan啊。
mixed031	1.816	因为它的得分方式非常efficient。
mixed032	1.872	就是，fe a famous Chinese player，姚明。
mixed033	1.930	而且它的三风，它的lay up，它的那个cross over，都非常的非常的标准，非常的那个具有威胁性。
mixed034	1.898	Now, um, why you choose Hong Kong instead of all other foreign countries like US or Australia?
mixed035	1.822	那你平时怎么跟local交流啊？
mixed036	1.861	个人的 personalities，还有那个。
mixed037	1.872	大四上学期好像是，反正好像是六月份的时候才开始准备I S。
mixed038	1.905	但是你们，你不觉得平时也有很多DOO要干嘛？
mixed039	1.961	三文鱼，或者是其他的东西，分给我们吃。然后我们又边吃边听他分享，吃他的一些他们公司的一些东西。
mixed040	1.937	那种关于呃着装啊，还有关于那些Interview Skills的东西，所以You need to have呃to dress formal.
mixed041	1.824	Self-driving方面，自动驾驶方面。
mixed042	1.813	他他make a mistake.
mixed043	1.807	很大程度上是属于那种data driver。
mixed044	1.776	另一个呢，就是 responsibility 的问题。
mixed045	1.767	就是我觉得呢，要分不同的 situation。
mixed046	1.802	如果你customer在知道这个会有五%的exit，呢？
mixed047	1.777	然后，如果这样的话，Action的 happen 的话，我觉得就是Company要，要负这个责任。
mixed048	1.857	第二个呢，它的测试也很很复杂，就是说你在测试的时候，你只能simulate这个scenario。
mixed049	1.832	AI可以就是很大很大程度上改善我们的生活，比如说什么一些，translation啊，还有一些就是。
mixed050	1.944	对，但是它也有它的drawback，就是说，就是有手机可以玩一些很多很多游戏之类的，会影响学习。
mixed051	1.943	你要就是教导，就是自己的孩子，如何使用Smartphone，是一个非常关键的。
mixed052	1.938	我们也学被被data上学期，然后我们主要是拿来做一些。
mixed053	1.894	做 optimization，然后再去做预测，主要还是做预测。
mixed054	2.004	计算机语言和程序语言这东西我还是不太懂。
mixed055	2.039	哦，那个是那个是Windows，好像是做。
mixed056	1.950	我当时学Privacy的时候，也是觉得。
mixed057	1.860	然后它可能会record用personal来。
mixed058	1.925	他们之所以不用阿里配的原因，就是因为啊，他们觉得阿里配很轻易的就能。
mixed059	1.905	sign in的话，只需要你的一个。
zh000	1.911	这并不是告别，这是一个篇章的结束，也是新篇章的开始。
zh001	2.184	有些人认为他是对的，但也有很多人持反对意见。他们认为太阳系是围绕着地球运转的，太阳也是，甚至其他恒星也是。
zh002	2.037	自一九六六年以来，孙德尔本斯一直是野生动物保护区。据估计，目前该区生活着四百只皇家孟加拉虎和大约三万只梅花鹿。
zh003	2.056	该海湾曾在一八八九年发生过一场臭名昭著的海军对峙，当时来自德国、美国和英国的七艘舰船拒绝驶离这个海湾。
zh004	1.967	对儿童来说，金字塔的声光表演是该地区最有趣的活动之一。
zh005	2.037	起初，他被送往位于大亚茅斯的詹姆斯·佩吉特医院进行救治。
zh006	2.055	平时你总能在这里听到游客和小摊贩的声音，声光交织，就像在讲述一个动人的故事。
zh007	2.071	胡那已经辞职，他在内阁中的位置将由国会议员艾德代为接替。预计国会议员诺曼·兰姆将接替艾为空出的商务部长一职。
zh008	2.282	表演开始五分钟后，刮起了风，约一分钟后，风速达到了七十公里每小时。紧接着又下起了雨，雨势如此之大，像针扎一样拍打在皮肤上。随后天上下起了冰雹，惊慌失措的人群尖叫着四散奔逃。
zh009	2.032	野孩子在被抛弃或离家出走之前，可能经历过严重的儿童虐待或创伤。
zh010	1.997	较小的岛屿大多是独立国家，且所属于法国。它们以豪华海滩度假胜地而闻名。
zh011	2.059	交通流量研究的是驾驶员和车辆在两点之间的运动，以及它们之间的相互作用。
zh012	2.084	通过红外光谱进行比较后，发现这些结晶的成分，与在受影响宠物的尿液中发现的结晶成分吻合。
zh013	2.019	综上所述，如果我们的祖先解决蛋白质问题的途径，与如今热带草原上的黑猩猩所使用的方法无异，我们也不应该感到惊讶。
zh014	2.017	梵蒂冈城的人口大约有八百人，它是世界上最小的独立国家，也是人口最少的国家。
zh015	1.972	周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。
zh016	2.025	一个孩子在被抛弃或离家出走之前，可能经历过严重的儿童虐待或创伤。
zh017	1.964	邓迪大学的 Pamela Ferguson 教授指出：“记者如果公布嫌疑人的照片等信息的话，似乎确实存在危害性。”
zh018	2.046	据透露，这份文件将提及边界争端。巴勒斯坦希望以1967年中东战争前的边界为基础。
zh019	1.967	对儿童来说，《金字塔的声光表演》是该地区最有趣的活动之一。
